name,parent,value
Origin,,
6a53cbcc58ccda9458528f074d33e1c8a61e412897c1b7c36e9139f3,Origin,6
6abe74953cf401c2115752d9061a8c12bd9688a7ee2571c6caa3336d,Origin,8
6bd5f4ef7aad7c9a5ac27a831223532ece28a6507c196cc1b6a1ee07,Origin,9
6c2a89a67c14a47369e56f5678041a59efaf3c8e638b4bc6e4364ba2,Origin,8
6dcc3b1423be45ac9ce3ed105667b644d13be8308bbc88fe54875506,Origin,6
6ea860db1400eb546312b6ca328c949bda66d98f6350b37b1104e082,Origin,9
7199c61411ae431ac16075a72bf4d469c45b6f958d28ca9e3d619c5b,Origin,7
7260da3a57c6b45672751d3f39400dad76cc265e49f30554b5d168aa,Origin,9
72a2cdb93e940574472fec809bcf2a03da19faae32c9659d145c078c,Origin,7
75a534b4084f80e5ea69071b7e9c3a968b470ea5af86d7ec4fd4f697,Origin,6
7636c849d916ee7d78a5115fb518b9e2ff826996e4743b909991d0af,Origin,6
76f5e0834133f576e2bc086d77e4c64e71da75b08b49be52d64ec6d3,Origin,6
7735864955daf4ee166bbf689e674b5312e5d47f39433a4a933a01c8,Origin,7
7782ffb575c0fccd586324a674c57593632445adcca3f82f36382070,Origin,6
78e16a6050263fa882b79de19c5901f6afbd5542f4fd32de0c0e4246,Origin,8
798999d8c6f0637f9e4855d52099fc541fdabb4d3fffb8d96be1f097,Origin,6
7ea0a2e8accb717a1391f723d01c4be9471db027bd7d96f6e4f12371,Origin,6
7ea734658b86b798b4239d7839965658e6c441db3a18616da2a23e7e,Origin,9
7ed3e9f8ded5080bca88fef03ef37c899d7ddb6ff969b4b0fb92f8d7,Origin,8
8392ec36dc0b74c8cb50446028e6a4a8cdac46412dba1cb877a91201,Origin,10
86b62f8f3bd504d95256cd8db0f1fcd9a52676f02975ffbe389c9e7f,Origin,8
878dd4dddd90ee4b15174b0609ee425f5a05fc36ded7c3808b9a832f,Origin,10
87ac725dd3b71d272895896f55ef769ed2a8224753977487974ed39c,Origin,8
8a222c30140c28355771016871fe7f5a5aee44715192e320cc019bd3,Origin,8
8a97fc526bbdd80f55d77b4d9781f5b167da5901ee1b15324fb58956,Origin,6
8b744785f1a27543b7058534a394479871e4cb32b4254a9092a5d884,Origin,10
8badb704cf28c0d78a23f5c45a596bda9f35191a76bb685c2899b48b,Origin,10
8bcfa9f1d4b5208fbf43a334d5b28bc8890491a916413dcabd769af2,Origin,6
8d28d70b95365dde86aa132cfe5f9534c6135fb0ded65afa3861d9e4,Origin,6
